algorithm,input_size,cost,runtime,tsp_file
brute_restart,7,132.03691103205068,0:00:00.003923,a280.tsp
random,7,193.36472942302228,0:00:00.000013,a280.tsp
greedy,7,151.89765687173264,0:00:00.000004,a280.tsp
random_restart,7,120.26729292058079,0:00:00.099317,a280.tsp
brute_force,2,36.82243829548208,0:00:00.000006,Random9.tsp
brute_restart,2,36.82243829548208,0:00:00.000003,Random9.tsp
random,2,73.64487659096416,0:00:00.000006,Random9.tsp
greedy,2,73.64487659096416,0:00:00.000002,Random9.tsp
random_restart,2,73.64487659096416,0:00:00.026851,Random9.tsp
brute_force,3,113.1191618186723,0:00:00.000007,Random9.tsp
brute_restart,3,113.1191618186723,0:00:00.000005,Random9.tsp
random,3,117.15077753946522,0:00:00.000007,Random9.tsp
greedy,3,119.80262447169127,0:00:00.000003,Random9.tsp
random_restart,3,117.15077753946522,0:00:00.053152,Random9.tsp
brute_force,4,110.96564032362414,0:00:00.000017,Random9.tsp
brute_restart,4,110.96564032362414,0:00:00.000017,Random9.tsp
random,4,112.48327067761608,0:00:00.000014,Random9.tsp
greedy,4,119.8069813710238,0:00:00.000003,Random9.tsp
random_restart,4,108.45165495682318,0:00:00.085116,Random9.tsp
brute_force,5,115.11091816315184,0:00:00.000114,Random9.tsp
brute_restart,5,115.11091816315184,0:00:00.000091,Random9.tsp
random,5,146.23941437997073,0:00:00.000008,Random9.tsp
greedy,5,121.30041227832544,0:00:00.000003,Random9.tsp
random_restart,5,109.94508586412479,0:00:00.110319,Random9.tsp
brute_force,6,118.37541571174243,0:00:00.000549,Random9.tsp
brute_restart,6,118.37541571174243,0:00:00.000577,Random9.tsp
random,6,201.002045931414,0:00:00.000011,Random9.tsp
greedy,6,121.90292328328314,0:00:00.000004,Random9.tsp
random_restart,6,117.23105952210148,0:00:00.120542,Random9.tsp
brute_force,7,119.67319715854451,0:00:00.004279,Random9.tsp
brute_restart,7,119.67319715854451,0:00:00.004169,Random9.tsp
random,7,175.72219634415222,0:00:00.000016,Random9.tsp
greedy,7,135.74630597602845,0:00:00.000004,Random9.tsp
random_restart,7,117.3077664084982,0:00:00.121100,Random9.tsp
brute_force,8,122.90073067989336,0:00:00.039160,Random9.tsp
brute_restart,8,122.90073067989336,0:00:00.035030,Random9.tsp
random,8,222.63998036686544,0:00:00.000018,Random9.tsp
greedy,8,125.20716369102868,0:00:00.000004,Random9.tsp
